date_pre,date_post,region,erosion_km2,accretion_km2
2021-08-03,2021-08-27,rotes_kliff_kampen,0.0994,0.0378
2021-08-27,2021-09-02,rotes_kliff_kampen,0.0147,0.4189
2021-09-02,2021-09-26,rotes_kliff_kampen,0.3784,0.0
2021-09-26,2021-10-02,rotes_kliff_kampen,0.0,0.2636
2021-10-02,2021-11-01,rotes_kliff_kampen,0.0313,0.1378
2021-11-01,2021-11-07,rotes_kliff_kampen,0.39,0.0705
2021-11-07,2021-12-01,rotes_kliff_kampen,0.0825,0.1962
2021-12-01,2022-03-07,rotes_kliff_kampen,0.011,0.2434
2022-03-07,2022-04-24,rotes_kliff_kampen,0.5477,0.0
2022-04-24,2022-05-06,rotes_kliff_kampen,0.0,0.1215
2022-05-06,2022-06-23,rotes_kliff_kampen,0.0,0.1573
2022-06-23,2022-07-17,rotes_kliff_kampen,0.1775,0.0009
2022-07-17,2022-08-22,rotes_kliff_kampen,0.0,0.456
2022-08-22,2022-09-03,rotes_kliff_kampen,0.5472,0.0
2022-09-03,2022-11-14,rotes_kliff_kampen,0.0083,0.0451
2022-11-14,2022-12-20,rotes_kliff_kampen,0.0,0.4519
2022-12-20,2023-01-25,rotes_kliff_kampen,0.3819,0.0
2023-01-25,2023-05-13,rotes_kliff_kampen,0.0212,0.0169
2023-05-13,2023-05-25,rotes_kliff_kampen,0.0298,0.0239
2023-05-25,2023-07-12,rotes_kliff_kampen,0.0037,0.2355
2023-07-12,2023-08-05,rotes_kliff_kampen,0.1726,0.0087
2023-08-05,2023-09-10,rotes_kliff_kampen,0.0046,0.1919
2023-09-10,2024-07-30,rotes_kliff_kampen,0.117,0.0028
2024-07-30,2024-12-09,rotes_kliff_kampen,0.0527,0.0203
